opened	open	close	tx_id	updated	from	from_blockchain	amount1	virtual	quote1	val1	gain_10_percent	to	to_blockchain	net	ersatz	quote2	val2
2025-08-25	22	10	https://snowtrace.io/tx/0xf3b65b7fc4bca24914b45cdc14fe6ca2c7e3c2c04809f2ce2e4cd7831ce24efe	n/a	UNDEAD	Avalanche	130000	0	$0.00	$0.00	143000	BTC	Avalanche	0.004608	0	$111395.00	$513.31
2025-08-25	23	0	virtual_swap	2026-08-06	BTC	Avalanche	0	0.00100698	$64816.00	$65.27	0.0011076779	UNDEAD	Avalanche	127011	0	$0.000514	$65.28
2025-09-02	24	11	https://snowtrace.io/tx/0xfa174d589e264d581581f033e3ba5256c350f23c43a586c258e536f55ff8b5cd	n/a	UNDEAD	Avalanche	177000	0	$0.00	$0.00	194700	BTC	Avalanche	0.004507	0	$109292.00	$492.58
2025-09-02	25	14	virtual_swap	n/a	BTC	Avalanche	0	0.009	$109292.00	$983.63	0.0099	UNDEAD	Avalanche	329495	0	$0.00	$0.00
2025-09-03	26	11	https://snowtrace.io/tx/0xe0b0efe282f7d7d3f7476ae506edd24489e8b3884072c80030854dee2322b01d	n/a	UNDEAD	Avalanche	181000	0	$0.00	$0.00	199100	BTC	Avalanche	0.004562	0	$111384.00	$508.13
2025-09-03	27	14	virtual_swap	n/a	BTC	Avalanche	0	0.009	$111384.00	$1002.46	0.0099	UNDEAD	Avalanche	332655	0	$0.00	$0.00
2025-10-21	28	15	https://snowtrace.io/tx/0xca2e5bedca647a3ffc69e6a6ef949de03c7b13595d3b8c963cc1ac294c637571	n/a	UNDEAD	Avalanche	107000	0	$0.002118	$226.63	117700	BTC	Avalanche	0.002149	0	$108555.00	$233.28
2025-10-21	29	13	https://snowtrace.io/tx/0xcd61bf1c948720dccb16f1c7f9cebd065c2d2dc734792f17fe85e9cdd76971ab	n/a	BTC	Avalanche	0.00444	0	$108555.00	$481.98	0.004884	UNDEAD	Avalanche	217404	0	$0.00	$0.00
2025-11-23	30	12	virtual_swap	n/a	UNDEAD	Avalanche	0	259000	$0.00	$0.00	284900	BTC	Avalanche	0.00556	0	$86526.00	$481.08
2025-11-23	31	14	virtual_swap	n/a	BTC	Avalanche	0	0.00575	$86526.00	$497.52	0.006325	UNDEAD	Avalanche	248812	0	$0.00	$0.00
2026-03-17	32	15	virtual_swap	2026-03-19	UNDEAD	Avalanche	0	540280.56	$0.002485	$1342.60	594308.6	BTC	Avalanche	0.018841	0	$69597.00	$1311.28
